,Correlation,Noise,Name,Length
411,0.7612405102571331,0.05,Curve 41,Length 100
412,0.5078765717000261,0.1,Curve 41,Length 100
413,0.6339856692268069,0.15,Curve 41,Length 100
414,0.5032226120339949,0.2,Curve 41,Length 100
420,0.715547483260725,smooth,Curve 42,Length 100
421,0.834248047040525,0.05,Curve 42,Length 100
422,0.8388974874922648,0.1,Curve 42,Length 100
423,0.5950806193778886,0.15,Curve 42,Length 100
424,0.6473935441392837,0.2,Curve 42,Length 100
430,0.1811648465835556,smooth,Curve 43,Length 100
431,0.7154876600398066,0.05,Curve 43,Length 100
432,0.7522449324424315,0.1,Curve 43,Length 100
433,0.5623167983916503,0.15,Curve 43,Length 100
434,0.685010569284701,0.2,Curve 43,Length 100
440,0.6734948587266616,smooth,Curve 44,Length 100
441,0.8351596964314149,0.05,Curve 44,Length 100
442,0.8139450009148398,0.1,Curve 44,Length 100
443,0.6233315044863228,0.15,Curve 44,Length 100
444,0.4025995244766864,0.2,Curve 44,Length 100
450,0.2895839624995104,smooth,Curve 45,Length 100
451,0.7123993666117939,0.05,Curve 45,Length 100
452,0.5722305450989388,0.1,Curve 45,Length 100
453,0.5235628800784878,0.15,Curve 45,Length 100
454,0.4469482491872815,0.2,Curve 45,Length 100
460,0.3415279380330852,smooth,Curve 46,Length 100
461,0.7798572732653138,0.05,Curve 46,Length 100
462,0.6099207131585028,0.1,Curve 46,Length 100
463,0.5002889461646218,0.15,Curve 46,Length 100
464,0.5150961622446042,0.2,Curve 46,Length 100
470,0.4359426189688473,smooth,Curve 47,Length 100
471,0.7508132815673347,0.05,Curve 47,Length 100
472,0.7334662678059948,0.1,Curve 47,Length 100
473,0.4571481459436867,0.15,Curve 47,Length 100
474,0.3473797703261238,0.2,Curve 47,Length 100
480,0.454634210748039,smooth,Curve 48,Length 100
481,0.8029989365798491,0.05,Curve 48,Length 100
482,0.6220211620654156,0.1,Curve 48,Length 100
483,0.5537198933364954,0.15,Curve 48,Length 100
484,0.4541751194232844,0.2,Curve 48,Length 100
490,0.507431442975212,smooth,Curve 49,Length 100
491,0.6321149754237956,0.05,Curve 49,Length 100
492,0.6196920973635591,0.1,Curve 49,Length 100
493,0.6212756103596688,0.15,Curve 49,Length 100
494,0.431671964062048,0.2,Curve 49,Length 100
500,0.4531293982081875,smooth,Curve 50,Length 100
501,0.8308651397179212,0.05,Curve 50,Length 100
502,0.7321517466948443,0.1,Curve 50,Length 100
503,0.6588021880907762,0.15,Curve 50,Length 100
504,0.6210694524190925,0.2,Curve 50,Length 100
510,0.6222730190319575,smooth,Curve 51,Length 100
511,0.8132953165470773,0.05,Curve 51,Length 100
512,0.6611420693357205,0.1,Curve 51,Length 100
513,0.3042628788687011,0.15,Curve 51,Length 100
514,0.2424491866716931,0.2,Curve 51,Length 100
520,0.0903713381997627,smooth,Curve 52,Length 100
521,0.6766738614393485,0.05,Curve 52,Length 100
522,0.7533399268079254,0.1,Curve 52,Length 100
523,0.4267244960387345,0.15,Curve 52,Length 100
524,0.1700243433827504,0.2,Curve 52,Length 100
530,0.6058275037317432,smooth,Curve 53,Length 100
531,0.8093895707425417,0.05,Curve 53,Length 100
532,0.7189000778385621,0.1,Curve 53,Length 100
533,0.7279818347394246,0.15,Curve 53,Length 100
534,0.8050445845569651,0.2,Curve 53,Length 100
540,0.5143989806100374,smooth,Curve 54,Length 100
541,0.8476664139891323,0.05,Curve 54,Length 100
542,0.7787672009765625,0.1,Curve 54,Length 100
543,0.5624142710127921,0.15,Curve 54,Length 100
544,0.3702544261573737,0.2,Curve 54,Length 100
550,0.2734443886192858,smooth,Curve 55,Length 100
551,0.7200194588724881,0.05,Curve 55,Length 100
552,0.6996552113687391,0.1,Curve 55,Length 100
553,0.6873424882465116,0.15,Curve 55,Length 100
554,0.6220716585347639,0.2,Curve 55,Length 100
560,0.2959062536425023,smooth,Curve 56,Length 100
561,0.7632979084494389,0.05,Curve 56,Length 100
562,0.5735521460570535,0.1,Curve 56,Length 100
563,0.6037188039671795,0.15,Curve 56,Length 100
564,0.5067293587120248,0.2,Curve 56,Length 100
570,0.4107000069454974,smooth,Curve 57,Length 100
571,0.6767228627911176,0.05,Curve 57,Length 100
572,0.761139091565423,0.1,Curve 57,Length 100
573,0.6297717677933138,0.15,Curve 57,Length 100
574,0.4547960677980901,0.2,Curve 57,Length 100
580,0.5526282910876785,smooth,Curve 58,Length 100
