,Name,AMI score,Length,Noise
45,Curve 45,0.5193302637991718,Length 200,Smooth
46,Curve 46,0.5776421253098101,Length 200,Smooth
47,Curve 47,0.5998618443562191,Length 200,Smooth
48,Curve 48,0.45758062824688295,Length 200,Smooth
49,Curve 49,0.47872811116441666,Length 200,Smooth
50,Curve 50,0.5656171526280439,Length 200,Smooth
51,Curve 51,0.5649519332621281,Length 200,Smooth
52,Curve 52,0.5796960761702233,Length 200,Smooth
53,Curve 53,0.28997445573573116,Length 200,Smooth
54,Curve 54,0.5341704944108575,Length 200,Smooth
55,Curve 55,0.5457809195077494,Length 200,Smooth
56,Curve 56,0.5704483148560084,Length 200,Smooth
57,Curve 57,0.48092043209809415,Length 200,Smooth
58,Curve 58,0.4657423261928345,Length 200,Smooth
59,Curve 59,0.572857771836699,Length 200,Smooth
60,Curve 60,0.5454572391464817,Length 200,Smooth
61,Curve 61,0.5149211054044149,Length 200,Smooth
62,Curve 62,0.6033833580441162,Length 200,Smooth
63,Curve 63,0.6554478271136402,Length 200,Smooth
64,Curve 64,0.5247047906534806,Length 200,Smooth
65,Curve 65,0.5051011834026791,Length 200,Smooth
66,Curve 66,0.6451890723024473,Length 200,Smooth
67,Curve 67,0.6040493982882557,Length 200,Smooth
68,Curve 68,0.12038282377700149,Length 200,Smooth
69,Curve 69,0.6091449918630515,Length 200,Smooth
70,Curve 70,0.21862141772720492,Length 200,Smooth
71,Curve 71,0.49847494702474343,Length 200,Smooth
72,Curve 72,0.5258369234141297,Length 200,Smooth
73,Curve 73,0.6140516862539233,Length 200,Smooth
74,Curve 74,0.5271861344424004,Length 200,Smooth
75,Curve 75,0.48328299682701664,Length 200,Smooth
76,Curve 76,0.6280733491688616,Length 200,Smooth
77,Curve 77,0.39111313079049503,Length 200,Smooth
78,Curve 78,0.6608465594042225,Length 200,Smooth
79,Curve 79,0.5519195281385773,Length 200,Smooth
80,Curve 80,0.4078925590512423,Length 200,Smooth
81,Curve 81,0.6018979514365207,Length 200,Smooth
82,Curve 82,0.4721887222578216,Length 200,Smooth
83,Curve 83,0.5960379989915485,Length 200,Smooth
84,Curve 84,0.4459264733322867,Length 200,Smooth
85,Curve 85,0.4314371552527445,Length 200,Smooth
86,Curve 86,0.43071877002137476,Length 200,Smooth
87,Curve 87,0.5473557648281965,Length 200,Smooth
88,Curve 88,0.6802364489660164,Length 200,Smooth
89,Curve 89,0.4613292163809814,Length 200,Smooth
90,Curve 90,0.5018022755014884,Length 200,Smooth
91,Curve 91,0.6634636044732577,Length 200,Smooth
92,Curve 92,0.5446800901463863,Length 200,Smooth
93,Curve 93,0.4511910483553187,Length 200,Smooth
94,Curve 94,0.6044921314689902,Length 200,Smooth
95,Curve 95,0.607369173077439,Length 200,Smooth
96,Curve 96,0.5809975977360852,Length 200,Smooth
97,Curve 97,0.5146421342526322,Length 200,Smooth
98,Curve 98,0.47036325289550057,Length 200,Smooth
99,Curve 99,0.42212913510586714,Length 200,Smooth
100,Curve 100,0.6661768568198885,Length 200,Smooth
101,Curve 101,0.6280628898308521,Length 200,Smooth
102,Curve 102,0.719538561647772,Length 200,Smooth
103,Curve 103,0.6103621597177736,Length 200,Smooth
104,Curve 104,0.44696798125673004,Length 200,Smooth
105,Curve 105,0.589847498904756,Length 200,Smooth
106,Curve 106,0.6640087557358397,Length 200,Smooth
107,Curve 107,0.6268315203094788,Length 200,Smooth
108,Curve 108,0.5976145621351839,Length 200,Smooth
109,Curve 109,0.4844293112828545,Length 200,Smooth
110,Curve 110,0.6543340644632463,Length 200,Smooth
111,Curve 111,0.5990600972208601,Length 200,Smooth
112,Curve 112,0.5621201333515657,Length 200,Smooth
113,Curve 113,0.592938209448642,Length 200,Smooth
114,Curve 114,0.5205419846658292,Length 200,Smooth
115,Curve 115,0.6159114207081023,Length 200,Smooth
116,Curve 116,0.5632122642498426,Length 200,Smooth
