,Correlation,Name,Length
734,0.8259816530933025,Curve 167,Length 200
736,0.755745285297868,Curve 168,Length 200
738,0.500851923349552,Curve 169,Length 200
740,0.4266872546858189,Curve 170,Length 200
742,0.490388543900414,Curve 171,Length 200
744,0.8631998190778404,Curve 172,Length 200
746,0.7807669672321164,Curve 173,Length 200
748,0.7157856368431469,Curve 174,Length 200
750,0.7200352909218156,Curve 175,Length 200
752,0.3643820423496414,Curve 176,Length 200
754,0.5636307921544014,Curve 177,Length 200
756,0.512282650624512,Curve 178,Length 200
758,0.6394998531408861,Curve 179,Length 200
760,0.4865971144792129,Curve 180,Length 200
762,0.6796346817850388,Curve 181,Length 200
764,0.5357068070642902,Curve 182,Length 200
766,0.4834403860967957,Curve 183,Length 200
768,0.6721448942428259,Curve 184,Length 200
770,0.5446999289585959,Curve 185,Length 200
772,0.7722176149797401,Curve 186,Length 200
774,0.426314677170359,Curve 187,Length 200
776,0.6682071275798495,Curve 188,Length 200
778,0.7065471343344711,Curve 189,Length 200
780,0.5459970174207175,Curve 190,Length 200
782,0.5801116998813916,Curve 191,Length 200
784,0.8292860381729382,Curve 192,Length 200
786,0.7281554596570807,Curve 193,Length 200
788,0.6622864760328316,Curve 194,Length 200
790,0.6916842737914186,Curve 195,Length 200
792,0.6139541028802085,Curve 196,Length 200
794,0.6693696812123214,Curve 197,Length 200
796,0.616830818869204,Curve 198,Length 200
798,0.73523411359059,Curve 199,Length 200
800,0.8094531383179175,Curve 0,Length 300
802,0.66298801464505,Curve 1,Length 300
804,0.4650939066189689,Curve 2,Length 300
806,0.7466606681313172,Curve 3,Length 300
808,0.6017850755919946,Curve 4,Length 300
810,0.5188117116269085,Curve 5,Length 300
812,0.7479000945668614,Curve 6,Length 300
814,0.6635076700726135,Curve 7,Length 300
816,0.6813058836031075,Curve 8,Length 300
818,0.435211978119538,Curve 9,Length 300
820,0.7071897782805155,Curve 10,Length 300
822,0.6526145146542046,Curve 11,Length 300
824,0.6229112986269494,Curve 12,Length 300
826,0.5564877692176624,Curve 13,Length 300
828,0.7691577143088616,Curve 14,Length 300
830,0.6863224388064596,Curve 15,Length 300
832,0.4619427498279631,Curve 16,Length 300
834,0.4320236796652869,Curve 17,Length 300
836,0.5667192235372939,Curve 18,Length 300
838,0.5074524380440563,Curve 19,Length 300
