,Noise,AMI score,Name,Length
204,0.2,0.4536732377217258,Curve 40,Length 100
205,smooth,0.5133777666044609,Curve 41,Length 100
206,0.05,0.7397346062907221,Curve 41,Length 100
207,0.1,0.5790252623887105,Curve 41,Length 100
208,0.15,0.6231529993319638,Curve 41,Length 100
209,0.2,0.6079449552748182,Curve 41,Length 100
210,smooth,0.5541895001606486,Curve 42,Length 100
211,0.05,0.6903156336436919,Curve 42,Length 100
212,0.1,0.6286942287577633,Curve 42,Length 100
213,0.15,0.4132090483201359,Curve 42,Length 100
214,0.2,0.5224961375942768,Curve 42,Length 100
215,smooth,0.2680073476533121,Curve 43,Length 100
216,0.05,0.5388422572450962,Curve 43,Length 100
217,0.1,0.4713605401978939,Curve 43,Length 100
218,0.15,0.4026268590619887,Curve 43,Length 100
219,0.2,0.4893179250155732,Curve 43,Length 100
220,smooth,0.5064590848991947,Curve 44,Length 100
221,0.05,0.5285236470707227,Curve 44,Length 100
222,0.1,0.5933310034317663,Curve 44,Length 100
223,0.15,0.4778083272337547,Curve 44,Length 100
224,0.2,0.3229338590169281,Curve 44,Length 100
225,smooth,0.5206333641284173,Curve 45,Length 100
226,0.05,0.7070742494628558,Curve 45,Length 100
227,0.1,0.5396350464598664,Curve 45,Length 100
228,0.15,0.5037648097910196,Curve 45,Length 100
229,0.2,0.5012060032574167,Curve 45,Length 100
230,smooth,0.4466264644287504,Curve 46,Length 100
231,0.05,0.6861113191767706,Curve 46,Length 100
232,0.1,0.6195019746058605,Curve 46,Length 100
233,0.15,0.4440169442679322,Curve 46,Length 100
234,0.2,0.4243562719861222,Curve 46,Length 100
235,smooth,0.3448033547463195,Curve 47,Length 100
236,0.05,0.5323854229774387,Curve 47,Length 100
237,0.1,0.4476577528492695,Curve 47,Length 100
238,0.15,0.3291981343363374,Curve 47,Length 100
239,0.2,0.2836916528064715,Curve 47,Length 100
240,smooth,0.3362466863557171,Curve 48,Length 100
241,0.05,0.6779440480452436,Curve 48,Length 100
242,0.1,0.4892595783273829,Curve 48,Length 100
243,0.15,0.4698036343636883,Curve 48,Length 100
244,0.2,0.4761181090461027,Curve 48,Length 100
245,smooth,0.367489470160397,Curve 49,Length 100
246,0.05,0.6338012672019216,Curve 49,Length 100
247,0.1,0.5461107835099064,Curve 49,Length 100
248,0.15,0.4891836034838087,Curve 49,Length 100
249,0.2,0.3638950675151137,Curve 49,Length 100
250,smooth,0.4503692423914576,Curve 50,Length 100
251,0.05,0.8663971915954883,Curve 50,Length 100
252,0.1,0.5909260026637667,Curve 50,Length 100
253,0.15,0.7416136814312888,Curve 50,Length 100
254,0.2,0.6161404725012701,Curve 50,Length 100
255,smooth,0.4873368284703213,Curve 51,Length 100
256,0.05,0.7301394126464879,Curve 51,Length 100
257,0.1,0.6302126977714582,Curve 51,Length 100
258,0.15,0.4618931321260649,Curve 51,Length 100
259,0.2,0.4726126314120202,Curve 51,Length 100
260,smooth,0.2569470188777717,Curve 52,Length 100
261,0.05,0.5335100489592437,Curve 52,Length 100
262,0.1,0.5692627913001538,Curve 52,Length 100
263,0.15,0.4393519392397446,Curve 52,Length 100
264,0.2,0.3049957673310568,Curve 52,Length 100
265,smooth,0.6283953291182709,Curve 53,Length 100
266,0.05,0.7501003505060684,Curve 53,Length 100
267,0.1,0.6943499826498117,Curve 53,Length 100
268,0.15,0.7291573282818392,Curve 53,Length 100
269,0.2,0.733611651386319,Curve 53,Length 100
270,smooth,0.4107728176433211,Curve 54,Length 100
271,0.05,0.6159266258342553,Curve 54,Length 100
272,0.1,0.578382776121046,Curve 54,Length 100
273,0.15,0.5292490417068887,Curve 54,Length 100
274,0.2,0.3268310887703387,Curve 54,Length 100
275,smooth,0.4064094888513444,Curve 55,Length 100
276,0.05,0.4781480012820679,Curve 55,Length 100
277,0.1,0.6492031087569651,Curve 55,Length 100
278,0.15,0.5756420271561197,Curve 55,Length 100
279,0.2,0.4660385430010319,Curve 55,Length 100
280,smooth,0.5161221319822823,Curve 56,Length 100
281,0.05,0.7219646485092437,Curve 56,Length 100
282,0.1,0.6371991068743775,Curve 56,Length 100
283,0.15,0.7119691549781765,Curve 56,Length 100
284,0.2,0.6326706545658118,Curve 56,Length 100
285,smooth,0.5101031417955456,Curve 57,Length 100
286,0.05,0.6287902769769741,Curve 57,Length 100
287,0.1,0.7681671347734723,Curve 57,Length 100
288,0.15,0.5687202572796021,Curve 57,Length 100
289,0.2,0.4932087716680338,Curve 57,Length 100
290,smooth,0.5757406173647659,Curve 58,Length 100
291,0.05,0.8426655539003151,Curve 58,Length 100
292,0.1,0.6053103651223759,Curve 58,Length 100
293,0.15,0.5663286857590529,Curve 58,Length 100
294,0.2,0.5725426563621633,Curve 58,Length 100
295,smooth,0.321041236544641,Curve 59,Length 100
296,0.05,0.700591043141009,Curve 59,Length 100
297,0.1,0.5427303750735618,Curve 59,Length 100
298,0.15,0.6076709610736024,Curve 59,Length 100
299,0.2,0.3623106630002956,Curve 59,Length 100
300,smooth,0.377760468995468,Curve 60,Length 100
301,0.05,0.756055731269258,Curve 60,Length 100
302,0.1,0.6055444355553694,Curve 60,Length 100
303,0.15,0.5612283239595841,Curve 60,Length 100
304,0.2,0.5595963880471124,Curve 60,Length 100
305,smooth,0.421018192520521,Curve 61,Length 100
306,0.05,0.8386682192598911,Curve 61,Length 100
307,0.1,0.652187477914949,Curve 61,Length 100
308,0.15,0.6188350498895148,Curve 61,Length 100
309,0.2,0.5665365201068926,Curve 61,Length 100
310,smooth,0.5968801725159407,Curve 62,Length 100
311,0.05,0.7208217545088051,Curve 62,Length 100
312,0.1,0.7369347260014018,Curve 62,Length 100
313,0.15,0.6761596666900191,Curve 62,Length 100
314,0.2,0.635597026193438,Curve 62,Length 100
315,smooth,0.4799277713771307,Curve 63,Length 100
316,0.05,0.7120221132887908,Curve 63,Length 100
317,0.1,0.6648076960602558,Curve 63,Length 100
318,0.15,0.6051993072635775,Curve 63,Length 100
319,0.2,0.5696510219295792,Curve 63,Length 100
320,smooth,0.3142529098193672,Curve 64,Length 100
321,0.05,0.6729047933775858,Curve 64,Length 100
322,0.1,0.4219078742422295,Curve 64,Length 100
