,Name,Correlation with ROG,Correlation with pairwise distances,Correlation between ROG and pairwise distances,Length
162,Curve 162,-0.5314302344828834,-0.5141160274740026,0.8935429709167927,Length 100
163,Curve 163,-0.4825735913982386,-0.4627129557394709,0.9115542287935524,Length 100
164,Curve 164,-0.4459884737950925,-0.4243819408181113,0.92196456797974,Length 100
165,Curve 165,-0.4518076212097731,-0.4736476655016846,0.8052966486450852,Length 100
166,Curve 166,-0.4724635688126806,-0.4811546959646658,0.8917426886171244,Length 100
167,Curve 167,-0.6127535996875157,-0.5502514508348814,0.896372286205576,Length 100
168,Curve 168,-0.4537794041136572,-0.421790962973983,0.9245145579561044,Length 100
169,Curve 169,-0.4594652729284991,-0.4696618807332615,0.9053407014085724,Length 100
170,Curve 170,-0.5073107270479359,-0.4761504237696715,0.8775504419895243,Length 100
171,Curve 171,-0.344618161813222,-0.3784822107058481,0.8061698171359256,Length 100
172,Curve 172,-0.3792413328085089,-0.3926820644732814,0.8529775441934253,Length 100
173,Curve 173,-0.2878390521543568,-0.3209563585846083,0.8838212320432348,Length 100
174,Curve 174,-0.4719465729570433,-0.4666389565255431,0.8541791768369873,Length 100
175,Curve 175,-0.4194692697900066,-0.4099629203099032,0.8050522958024324,Length 100
176,Curve 176,-0.4600397942421826,-0.4564446466631683,0.9618015121430242,Length 100
177,Curve 177,-0.4271026977144471,-0.4613728455860121,0.9486567474058966,Length 100
178,Curve 178,-0.5655879522451723,-0.5379499486025106,0.7807557516628902,Length 100
179,Curve 179,-0.5245613892197016,-0.5171119196266171,0.9458489436167,Length 100
180,Curve 180,-0.4918840252394691,-0.4752104765209767,0.9042940210880998,Length 100
181,Curve 181,-0.2204373506117457,-0.3707775503550266,0.6274649137852084,Length 100
182,Curve 182,-0.4630561979782845,-0.4369989724535131,0.9215547052327272,Length 100
183,Curve 183,-0.4465723324859703,-0.4947237183141786,0.9133377416635788,Length 100
184,Curve 184,-0.3165455113465209,-0.3321643288370646,0.8438813909874063,Length 100
185,Curve 185,-0.3278633160956207,-0.3665529686461565,0.848990667342977,Length 100
186,Curve 186,-0.3701821436422945,-0.4407928538852511,0.7666924091153954,Length 100
187,Curve 187,-0.5002682328108985,-0.5082683264743054,0.7591989500334213,Length 100
188,Curve 188,-0.4893633860221414,-0.3893370166166872,0.8439495033903619,Length 100
