individual,time,x,y,cov,trv,rel,lbl
6,1475.277381,1.33215199,-12.47512843,2.59932875,0.49803145,4.56779513,3
6,1478.310555,1.72086498,-12.50555096,2.64464068,0.49808214,4.62954732,3
6,1481.343728,2.058674,-12.71083369,2.60391536,0.49890003,4.68665806,3
6,1484.376902,2.29417098,-13.17398386,2.41012976,0.49682658,4.73554416,3
6,1487.378073,2.35786112,-13.73867142,2.15627814,0.49635255,4.76914256,3
6,1490.410247,2.46340875,-14.24240528,2.03203329,0.49616164,4.79293699,3
6,1493.44242,2.52731626,-14.72665313,1.98283798,0.4959633,4.81092566,3
6,1496.475594,2.3814009,-15.13810458,1.90722027,0.49534615,4.8276334,3
6,1499.508767,2.15001373,-15.5742535,1.8658865,0.49423279,4.84644365,3
6,1502.508939,1.68638584,-15.88762892,1.81831912,0.49530231,4.87045288,3
6,1505.542112,1.18022519,-16.05483329,1.85818799,0.49787211,4.90167623,3
6,1508.544284,0.6803544,-16.09178275,1.97832659,0.49987593,4.93686871,3
6,1511.574457,0.18809667,-15.97541054,2.15873478,0.50056423,4.97719023,3
6,1514.574629,-0.2403941,-15.68931663,2.37124487,0.50047052,5.02094129,3
6,1517.5748,-0.53685498,-15.23841545,2.58943698,0.50035823,5.06722623,3
6,1520.580972,-0.43478773,-14.69195747,2.64597162,0.50031963,5.11290449,3
6,1523.607145,-0.06046675,-14.32037675,2.59579414,0.50020586,5.15572618,3
6,1526.607317,0.39430608,-14.07442244,2.56500257,0.50078851,5.19534767,3
6,1529.640491,0.90122582,-14.03555725,2.50957341,0.50024368,5.23324869,3
6,1532.653663,1.31936287,-14.28273314,2.40103002,0.50023339,5.26747761,3
6,1535.672835,1.61769663,-14.64723042,2.305978,0.50004701,5.29832393,3
6,1538.706009,1.83521627,-15.1144711,2.23629732,0.50074885,5.32580881,3
6,1541.706181,1.9720795,-15.6392346,2.22285395,0.49962732,5.35357018,3
6,1544.752355,1.94557214,-16.18554888,2.25207997,0.50009904,5.38091929,3
6,1547.771527,1.854727,-16.640966,2.31850467,0.50053791,5.40672994,3
6,1550.804701,1.57876875,-17.02058828,2.39052176,0.50135761,5.42627694,3
6,1553.806873,1.21408031,-17.35967667,2.53818,0.5024416,5.43591116,3
6,1556.810044,0.75610865,-17.46764885,2.69447908,0.50296618,5.43492134,3
6,1559.838218,0.32627305,-17.27591585,2.79736817,0.50312786,5.42792011,3
6,1562.838389,0.01377047,-16.96302883,2.88338108,0.50342969,5.42214231,3
6,1565.870563,-0.17224847,-16.56925013,2.94628017,0.50406699,5.42129423,3
6,1568.870734,-0.3759013,-16.07591226,3.0719177,0.50431199,5.43034836,3
6,1571.902908,-0.36904062,-15.48527818,3.15785149,0.50408348,5.45133661,3
6,1574.90308,-0.13444333,-15.01907361,3.18320352,0.50350057,5.48764637,3
6,1577.903251,0.16646719,-14.61846755,3.23821942,0.50179172,5.53845449,3
6,1580.936424,0.5562845,-14.1495649,3.39243323,0.5021897,5.6043317,3
6,1583.968598,1.07892708,-13.97021744,3.45226114,0.5015852,5.67978449,3
6,1586.97177,1.55586811,-13.93943079,3.51008559,0.50200515,5.75716772,3
6,1590.001943,1.98346247,-14.13296104,3.48466188,0.50343383,5.82392743,3
6,1593.011115,2.29764184,-14.38255673,3.46043162,0.50429272,5.88177478,3
6,1596.035288,2.55217291,-14.73905187,3.40349833,0.50453853,5.93062652,3
6,1599.068461,2.7136692,-15.26912831,3.28454058,0.50426226,5.96876413,3
6,1602.101635,2.70738587,-15.83560736,3.14183889,0.50477717,5.9939033,3
6,1605.101807,2.4235346,-16.31223097,2.96844661,0.5061305,6.00266843,3
6,1608.13498,2.13777288,-16.68730507,2.87136144,0.50576236,5.99921407,3
6,1611.167153,1.75553934,-16.91634521,2.82470652,0.50469341,5.9878394,3
6,1614.167325,1.28062028,-17.08145679,2.8564077,0.50384454,5.97796162,3
6,1617.200499,0.86741876,-17.01985733,2.96984488,0.50260372,5.9736059,3
6,1620.20267,1.00119347,-17.07928174,2.93207157,0.50154289,5.97273604,3
6,1623.232843,1.02869361,-17.06174353,2.92368557,0.50173817,5.9751614,3
6,1626.233015,1.04089475,-17.08991677,2.90895322,0.50265856,5.9820699,3
6,1629.266189,1.41543917,-17.16151497,2.82128059,0.50434245,5.98791848,3
6,1632.299362,1.78909685,-17.3332252,2.77375468,0.50577917,5.99263483,3
6,1635.299534,1.85919752,-17.32091089,2.75171088,0.50529338,5.99725243,3
6,1638.332707,2.17923736,-17.48502337,2.75032637,0.50356156,5.99898246,3
6,1641.364881,2.50855344,-17.90418612,2.75608237,0.50346243,5.9918027,3
6,1644.365052,2.81522303,-18.37439117,2.78741434,0.50414284,5.97572396,3
6,1647.365224,3.07386536,-18.8462677,2.8466115,0.50504308,5.95260198,3
6,1650.397398,3.30691647,-19.29046076,2.94649282,0.50586301,5.9227711,3
6,1653.400569,3.41884379,-19.90468184,3.0809596,0.50605674,5.88647182,3
6,1656.430742,3.52770648,-20.54283945,3.30980607,0.50619831,5.84355831,3
6,1659.439915,3.41103852,-21.08355515,3.47979386,0.50673911,5.79437172,3
6,1662.463088,3.21356134,-21.63401128,3.69588669,0.50797427,5.7429134,3
6,1665.463259,2.86627557,-22.06736396,3.87102246,0.50883563,5.68675476,3
6,1668.496432,2.3161873,-22.21711374,3.89539637,0.50921388,5.62332614,3
6,1671.496604,1.85145596,-21.92992146,3.66236768,0.50960818,5.5537415,3
6,1674.496776,1.53952097,-21.46243669,3.35803215,0.51012724,5.48267521,3
6,1677.529949,1.25271643,-20.95771052,3.11965804,0.50918722,5.41319714,3
6,1680.530121,0.99173734,-20.42624323,2.96733562,0.50877464,5.34490638,3
6,1683.530293,0.88819273,-19.88424332,2.83277449,0.50618954,5.27894716,3
6,1686.532464,1.13682867,-19.43418565,2.62441505,0.50473121,5.21804519,3
6,1689.561637,1.68365004,-19.29346076,2.40260593,0.50132763,5.16280737,3
6,1692.561809,2.10640927,-19.16447063,2.32426595,0.50122974,5.11457394,3
6,1695.593982,2.65008633,-19.32144336,2.31471862,0.50217786,5.07349915,3
6,1698.594154,3.23409536,-19.55109044,2.43323154,0.50336073,5.03401113,3
6,1701.594326,3.67474807,-19.97823943,2.61544616,0.50446823,4.99725024,3
6,1704.627499,3.79687752,-20.59553313,2.75474292,0.50487373,4.96105442,3
6,1707.660673,3.68828564,-21.17365617,2.87247698,0.50571134,4.92099593,3
6,1710.693846,3.44030759,-21.66256024,2.98375095,0.50702326,4.87707682,3
6,1713.72702,3.15931043,-22.04421325,3.10987497,0.50760452,4.82719342,3
6,1716.728191,2.64583196,-22.2519465,3.14080397,0.50846424,4.77131122,3
6,1719.729363,2.08114915,-22.01102032,2.93113947,0.50837946,4.71301027,3
6,1722.774537,1.59591646,-21.66927473,2.77091416,0.50780119,4.65567945,3
6,1725.79271,1.28967608,-21.22384596,2.6109752,0.50793355,4.60015785,3
6,1728.805882,1.29230283,-20.76332999,2.40070418,0.50866059,4.54854384,3
6,1731.825055,1.61464052,-20.2266925,2.13278774,0.50831258,4.50109075,3
6,1734.828227,1.9245905,-19.80885762,2.00167115,0.50881893,4.46211222,3
6,1737.8584,2.42113865,-19.5612522,1.9381405,0.5089607,4.43023692,3
6,1740.891573,3.01541396,-19.69562236,1.94162274,0.50880685,4.40409412,3
6,1743.924747,3.49546084,-20.04503488,2.02067598,0.50920161,4.37947084,3
6,1746.925919,3.85772488,-20.41225829,2.16200882,0.50999705,4.35580414,3
6,1749.92609,4.06136103,-20.79604143,2.2941063,0.50956828,4.33100538,3
6,1752.957263,4.15607417,-21.26743979,2.44591471,0.50966745,4.30398395,3
6,1755.964436,3.90582706,-21.76518373,2.47354247,0.50947762,4.27483177,3
6,1758.990609,3.49923762,-22.11136298,2.44589452,0.50906686,4.24522221,3
6,1762.022782,3.01922319,-22.23426406,2.3440684,0.50946156,4.21507681,3
6,1765.022954,2.58488643,-22.12160909,2.1724353,0.51024399,4.18346942,3
6,1768.024125,2.17082881,-21.93358582,2.04276114,0.51219894,4.15372778,3
6,1771.055299,1.72846496,-21.60465338,1.94799178,0.51669265,4.12693643,3
6,1774.05547,1.35034908,-21.18385848,1.93656343,0.52145996,4.10451393,3
6,1777.056642,1.12155611,-20.66468193,1.96728839,0.52634842,4.08763782,3
6,1780.087815,1.1912573,-20.1107595,1.94865376,0.52848092,4.07468547,3
6,1783.090987,1.43561105,-19.63037062,1.94808007,0.53085483,4.06514743,3
6,1786.121161,1.57128874,-19.17933128,2.11716662,0.53656829,4.05885468,3
6,1789.121332,1.73460107,-18.81957813,2.30682559,0.53933349,4.05759327,3
6,1792.121503,2.19831241,-18.62019295,2.35535866,0.54123253,4.05969146,3
6,1795.135676,2.75009509,-18.69239782,2.28515275,0.54252751,4.06135298,3
6,1798.153849,3.25285294,-18.84900032,2.26395969,0.54304368,4.05927839,3
6,1801.15402,3.73620104,-19.16177454,2.23810675,0.54493251,4.05138342,3
6,1804.187193,4.11990378,-19.59534627,2.2114439,0.54471595,4.0375783,3
6,1807.219367,4.32882714,-20.1011139,2.1585263,0.54432032,4.01537959,3
6,1810.219539,4.34814162,-20.65609291,2.07268819,0.54521054,3.98648497,3
6,1813.21971,4.22002479,-21.27225598,2.02758965,0.54535545,3.95108352,3
6,1816.222882,3.755569,-21.65424107,1.86218047,0.54638245,3.91390359,3
6,1819.226054,3.18486078,-21.74226096,1.67652099,0.54735488,3.87490326,3
6,1822.252227,2.72637189,-21.36250352,1.46628134,0.54755829,3.83680241,3
6,1825.2844,2.34866198,-20.92321802,1.3902744,0.54718933,3.80438461,3
6,1828.285572,2.23848143,-20.51479863,1.40475373,0.54734584,3.77731817,3
6,1831.317745,2.37311994,-20.06747276,1.47566127,0.54795418,3.75391306,3
6,1834.317917,2.28170236,-20.27549231,1.43443201,0.54817105,3.72786003,3
6,1837.35109,2.51905637,-20.49777734,1.36976564,0.54933475,3.69426415,3
6,1840.384264,2.49822295,-20.67156702,1.34588654,0.54989921,3.65536478,3
6,1843.416438,2.48155411,-21.20383509,1.38702786,0.55156309,3.61338758,3
6,1846.417609,2.0648877,-21.69195008,1.60581399,0.5522745,3.5777152,3
6,1849.420781,1.49800631,-21.82669997,1.91470133,0.55225647,3.55396744,3
6,1852.451954,1.05609783,-21.45092872,2.06590593,0.55244558,3.54331659,3
6,1855.482128,0.86284919,-20.94827238,2.13723163,0.55159014,3.54763034,3
6,1858.482299,0.89972761,-20.39521252,2.15185076,0.55196567,3.56595995,3
6,1861.482471,1.1699567,-19.85743795,2.12587106,0.55242648,3.59561405,3
6,1864.515644,1.56376886,-19.54880324,2.05347131,0.55365917,3.62989267,3
6,1867.515816,2.05050104,-19.36164022,1.98336595,0.55397851,3.66166627,3
6,1870.547989,2.57173413,-19.42641357,1.85183447,0.55305893,3.68476477,3
6,1873.548161,3.05104356,-19.65919626,1.73095386,0.5520684,3.6932329,3
6,1876.548332,3.40931306,-20.0567088,1.62128483,0.55185365,3.68766517,3
6,1879.549504,3.71074791,-20.54487897,1.5918778,0.55265141,3.6677271,3
6,1882.580678,3.78955082,-21.1144278,1.59430367,0.55157738,3.63099393,3
6,1885.580849,3.50842852,-21.64810674,1.60200898,0.55225414,3.57982878,3
6,1888.614023,3.08594092,-21.90045024,1.61537533,0.55161266,3.52179985,3
6,1891.614194,2.65185723,-22.03332999,1.69041255,0.55124429,3.46079879,3
6,1894.646368,2.21558631,-21.97078217,1.76891093,0.55108869,3.40085305,3
6,1897.646539,1.83762734,-21.61717833,1.79888727,0.55179138,3.34539646,3
6,1900.679713,1.63834962,-21.14635967,1.8338982,0.55269109,3.29813463,3
6,1903.712886,1.64227277,-20.56994262,1.88025008,0.5524227,3.26149705,3
6,1906.713058,1.91446228,-20.10847335,1.89954355,0.55279429,3.23605048,3
6,1909.748231,2.26954023,-19.86514231,1.91519347,0.55293792,3.21898442,3
6,1912.756403,2.73654729,-19.73399301,1.94572606,0.55373601,3.20637405,3
6,1915.789577,3.30012029,-19.87540803,1.93597373,0.55420996,3.19273242,3
6,1918.81975,3.86477105,-20.11470004,2.01175655,0.55393103,3.17377259,3
6,1921.844923,4.27023917,-20.55117952,2.08248556,0.55277155,3.14334573,3
6,1924.877097,4.46506458,-21.02179456,2.15170722,0.55125504,3.10611944,3
6,1927.895269,4.47277775,-21.54128456,2.21849553,0.54985804,3.06376871,3
6,1930.910442,4.17066883,-22.05339018,2.24842346,0.54915753,3.01715604,3
6,1933.910614,3.76528887,-22.5597174,2.37872267,0.54886382,2.96978512,3
6,1936.910785,3.13873231,-22.70205205,2.41381732,0.55085968,2.92343755,3
6,1939.943958,2.5087082,-22.6137375,2.46405534,0.55328713,2.8811161,3
6,1942.977132,2.0053841,-22.09476435,2.39421178,0.55415694,2.84783468,3
6,1945.979304,1.72462538,-21.46351395,2.38071952,0.55432016,2.82416829,3
6,1948.981475,1.76988921,-20.87552666,2.35667332,0.55505227,2.81012084,3
6,1952.008648,1.96818984,-20.21411299,2.43395323,0.555168,2.80582435,3
6,1955.020821,2.39141931,-19.78504384,2.49878982,0.55531286,2.8104735,3
6,1958.041994,2.9910109,-19.68541108,2.46352893,0.55575274,2.82095829,3
6,1961.042165,3.57530852,-19.95185549,2.32834505,0.55419422,2.82832378,3
6,1964.042337,3.92729728,-20.43689434,2.16481429,0.54979838,2.83061535,3
6,1967.042509,3.83558377,-21.08851097,1.97848251,0.54842405,2.82649232,3
6,1970.073682,3.49711758,-21.66366087,1.95762717,0.54788616,2.82559358,3
6,1973.073853,3.04993155,-22.0116809,2.07714513,0.5478983,2.83081357,3
6,1976.075025,2.53887191,-22.1323181,2.27074521,0.54651429,2.84481391,3
6,1979.078197,1.94277716,-22.12265935,2.56810792,0.54670923,2.86814638,3
6,1982.10637,1.44278924,-21.70275686,2.81939453,0.5472433,2.89990464,3
6,1985.106542,1.38763184,-21.13192673,2.8653896,0.55163415,2.93908712,3
