id,x,y,z
9,-12.48274332,3.15459195,0.30631593
9,-12.31728303,3.32571769,0.10361708
9,-12.14744681,3.4780948,-0.11287406
9,-12.48368124,3.16764687,-0.07374933
9,-12.65227838,2.97528432,-0.35727605
9,-12.76216434,2.87206451,-0.18175738
9,-12.74037723,2.90173043,0.02564264
9,-12.65418237,2.98061268,0.28959494
9,-12.51632174,3.10476564,0.44255263
9,-12.65471711,2.99381052,0.04040216
9,-12.88082702,2.74071618,0.09771689
9,-12.83653308,2.79373793,-0.02971512
10,-8.97489117,-5.35861219,-0.3848474
10,-8.54370308,-5.51183098,-0.60910071
10,-8.26258213,-5.54785487,-1.07412314
10,-8.05656374,-5.63066615,-1.03370396
10,-7.94425479,-5.67102908,-1.03035586
10,-8.0583052,-5.57735206,-1.28805021
10,-8.16410901,-5.59553874,-1.01330017
10,-8.2527426,-5.50865381,-1.27584995
10,-8.08041293,-5.62155665,-1.03674131
10,-7.94280284,-5.73640878,-0.56708467
10,-8.14192461,-5.65970269,-0.62851524
10,-8.06001218,-5.67265802,-0.76157855
10,-8.12412571,-5.60666419,-1.03196995
10,-8.21244498,-5.60855401,-0.82647374
10,-8.06434687,-5.69344673,-0.57117576
10,-7.83995418,-5.76758341,-0.60725712
10,-7.75201095,-5.82291457,-0.26504246
10,-7.68302333,-5.84798069,-0.20954715
10,-7.67831746,-5.85161083,-0.13968132
10,-7.47146308,-5.91617219,-0.20788579
11,1.5574499,-3.85845027,-5.78843234
11,1.69333939,-4.07520922,-5.6281276
11,1.95838388,-4.2322223,-5.48903248
11,2.22616726,-4.38764512,-5.33943959
11,2.1432712,-4.63895233,-5.13144409
11,2.59023628,-4.73490961,-4.99032063
11,2.34164041,-4.81393898,-4.94521704
11,2.59208373,-4.89242429,-4.83574814
11,2.20702724,-4.83653665,-4.9386406
11,2.27308663,-4.87316374,-4.89495092
11,1.85169488,-5.19773326,-4.59634371
11,1.66566985,-5.45776126,-4.30339726
11,1.88420182,-5.4415796,-4.30135529
11,2.13033694,-5.57257255,-4.10022576
11,2.10184472,-5.65480937,-3.9898237
11,2.18374829,-5.72490059,-3.87728308
11,2.09528926,-5.84067448,-3.71334922
11,2.54494196,-6.02207636,-3.33397869
11,2.50834858,-6.2164354,-2.9636089
11,2.63849557,-6.25638978,-2.84906514
12,13.78701847,-0.23491393,-1.19345962
12,13.73013717,-0.57382642,-1.24159436
12,13.48400598,-0.63194824,-1.77370716
12,13.41621943,-0.60567373,-1.90641638
12,13.36155176,-0.16820658,-2.08301229
12,12.99716954,-0.14292256,-2.59768534
12,12.80393327,-0.03612269,-2.83081585
12,12.62634866,-0.51807029,-2.9791665
12,12.66163351,-0.69575072,-2.9045981
12,12.76138467,-0.82661484,-2.75743962
12,12.76126262,-0.95016775,-2.71748512
12,12.72076811,-1.14084995,-2.69146355
12,12.4221267,-1.25658508,-2.97383355
12,12.2540098,-1.21466116,-3.15981158
12,11.98516618,-1.23774747,-3.39954836
12,11.84167141,-1.27344082,-3.5102782
12,11.87822255,-1.4943077,-3.39028048
12,11.38096149,-1.47618715,-3.79990794
12,11.08404949,-1.70987806,-3.91947429
12,10.77086718,-1.83069652,-4.07990874
13,3.51222435,-3.12430021,6.01288768
13,3.7632708,-3.32600932,5.86490496
13,3.71556733,-3.51672101,5.76032232
13,3.75137379,-3.3165403,5.87216818
13,3.96588542,-3.74183306,5.57374412
13,3.53942712,-4.19231455,5.31908005
13,3.79287083,-4.27336514,5.20978724
13,3.85149793,-4.47446239,5.02699485
13,3.74860351,-4.38711223,5.12252274
13,3.44802306,-4.57517773,5.00954419
13,3.64571121,-4.74523551,4.81247727
13,3.75103763,-4.87726164,4.65776213
13,4.06874568,-5.09914348,4.34281739
13,3.70707651,-5.33832114,4.13118909
13,3.5056105,-5.58703627,3.83571368
13,2.87756599,-5.72917343,3.75585879
13,2.47635812,-5.51152437,4.13400674
13,2.58789407,-5.50821709,4.12131599
13,2.92680478,-5.69594795,3.79666043
13,3.09216885,-5.82348003,3.56324337
14,5.55619742,4.42727497,-4.65632944
14,5.72191161,4.0320582,-4.95554624
14,5.20392042,4.25799264,-4.90910396
14,5.69078498,4.20316949,-4.82048834
14,5.40975128,4.00056533,-5.06745743
14,5.02417209,4.38733823,-4.84155832
14,4.97148884,4.57950511,-4.6743136
14,5.24298185,4.25082627,-4.90492215
14,4.92037982,4.13393506,-5.08508078
14,4.93832515,3.77591998,-5.35216447
14,4.67082971,3.60538692,-5.52693609
14,4.31147697,3.61667692,-5.59217665
14,3.97980318,3.38739776,-5.79360234
14,4.1027661,3.06066332,-5.95182053
14,4.26394569,3.05607734,-5.92579809
14,4.35336535,3.312644,-5.7696137
14,4.67261184,3.46863447,-5.61339911
14,5.03511326,3.11110752,-5.74307571
14,5.12323419,2.64173584,-5.95477536
14,5.4291002,2.23820013,-6.05158475
15,6.78313892,0.00016727,-6.12350035
15,6.47285311,-0.18334934,-6.20418618
15,6.93899336,-0.23588557,-6.07510912
15,7.00605142,-0.13447694,-6.05893776
15,7.11961078,-0.12378975,-6.02598222
15,7.2046819,-0.37323497,-5.99031179
15,6.98866557,-0.33491156,-6.05619292
15,6.86097305,-0.01651772,-6.10176117
15,6.53468576,-0.06274512,-6.19035811
15,7.14114161,-0.03880615,-6.02075728
15,7.09261079,-0.32377688,-6.02651529
15,6.70282415,0.0995965,-6.14476343
15,6.24126065,-0.14095441,-6.26432744
15,6.30710524,-0.57955713,-6.22247695
15,6.74142243,-0.84233073,-6.07690586
15,6.81505527,-0.87644264,-6.05149599
15,6.72244276,-1.19038499,-6.02371766
15,6.92178045,-1.0779202,-5.98834926
15,6.78958592,-0.96209878,-6.04563865
15,6.71809368,-0.84964501,-6.08234393
16,7.5088135,-2.74463825,5.23176747
16,7.06217167,-2.60141075,5.45564798
16,7.03376357,-2.26825291,5.61128962
16,7.0444935,-2.40407804,5.55105275
16,7.55889519,-2.46805506,5.35018505
16,8.22927719,-2.22083401,5.20938053
16,8.67415862,-1.97570142,5.12702126
16,7.99342928,-1.84365082,5.44308954
16,7.61244316,-1.65636895,5.63641013
16,7.78028146,-1.96433964,5.47797179
16,7.84990032,-2.23872963,5.34629366
16,8.09470612,-2.10324066,5.30992579
16,8.32565158,-1.9599585,5.27536199
16,8.23327284,-2.18618,5.22244402
16,8.4623435,-2.35185951,5.05627753
16,8.17561247,-2.5458271,5.08021698
16,7.73949029,-2.1969498,5.40356217
16,7.32612095,-2.30441155,5.50197014
16,7.08845373,-2.63061147,5.43307825
16,6.93793965,-2.79126707,5.40139579
17,-10.93894228,0.63342566,4.32245964
17,-11.0978047,0.49778211,4.23814767
17,-11.18136716,0.48684135,4.1841657
17,-11.36565482,0.36724829,4.07070035
17,-11.41707727,-0.03093716,4.05112695
17,-11.09843029,-0.21338189,4.26153487
17,-10.57622261,-0.21823736,4.58129363
17,-10.56546952,-0.53530956,4.56137667
17,-10.87545834,-0.20593624,4.40325922
17,-10.79663097,-0.52926601,4.424711
17,-10.62323175,-0.65696713,4.5116661
