# test=1, eval=2
Epoch	CE	Acc	AUC	TestAUC	Time
40	1.6084693670	0.2032710280	0.6292187693	0.6332123763	2024-06-28T01:14:42.752
50	1.6082323790	0.2032710280	0.6284446710	0.6322784654	2024-06-28T01:14:45.745
60	1.6080086231	0.2032710280	0.6282327296	0.6320719605	2024-06-28T01:14:48.852
70	1.6077649593	0.2032710280	0.6283281314	0.6321495449	2024-06-28T01:14:51.953
80	1.6075414419	0.2032710280	0.6280911730	0.6319902942	2024-06-28T01:14:55.133
90	1.6073068380	0.2339786382	0.6280575646	0.6319621998	2024-06-28T01:14:58.333
100	1.6070677042	0.2032710280	0.6279715565	0.6319309194	2024-06-28T01:15:01.563
110	1.6068381071	0.2032710280	0.6281102523	0.6319922635	2024-06-28T01:15:04.800
eval AUC = 0.6359881836594097
eval Acc = 0.20359281437125748
# test=2, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.6094263792	0.2032710280	0.6032979898	0.6120795786	2024-06-28T01:15:06.942
10	1.6091655493	0.2032710280	0.6304183077	[1m0.6411009104[0m	2024-06-28T01:15:09.581
20	1.6089112759	0.2032710280	0.6334530791	[1m0.6430555162[0m	2024-06-28T01:15:12.312
30	1.6086810827	0.2032710280	0.6328768380	0.6426562446	2024-06-28T01:15:15.149
40	1.6084467173	0.2032710280	0.6321137571	0.6420695209	2024-06-28T01:15:18.104
50	1.6082075834	0.2032710280	0.6336070446	[1m0.6433558052[0m	2024-06-28T01:15:21.056
60	1.6079736948	0.2032710280	0.6333100719	0.6432289201	2024-06-28T01:15:24.061
70	1.6077475548	0.2032710280	0.6330056228	0.6430118222	2024-06-28T01:15:27.142
80	1.6075245142	0.2276368491	0.6311177127	0.6414179821	2024-06-28T01:15:30.319
90	1.6072927713	0.2169559413	0.6325649710	0.6427071106	2024-06-28T01:15:33.445
100	1.6070513725	0.2032710280	0.6333961404	[1m0.6435613494[0m	2024-06-28T01:15:36.606
110	1.6068221331	0.2032710280	0.6353035431	[1m0.6448323345[0m	2024-06-28T01:15:39.723
120	1.6065930128	0.2032710280	0.6351968408	0.6447816732	2024-06-28T01:15:42.868
130	1.6063977480	0.2016021362	0.6341279139	0.6441508724	2024-06-28T01:15:46.046
140	1.6061265469	0.2596795728	0.6350909195	0.6447047440	2024-06-28T01:15:49.233
150	1.6059019566	0.2032710280	0.6371871206	[1m0.6459438044[0m	2024-06-28T01:15:52.393
160	1.6056751013	0.3134178905	0.6340876589	0.6441271708	2024-06-28T01:15:55.606
170	1.6054426432	0.3070761015	0.6354385050	0.6448142809	2024-06-28T01:15:58.838
180	1.6052166224	0.3254339119	0.6349406055	0.6445814855	2024-06-28T01:16:02.096
190	1.6049858332	0.3227636849	0.6354654026	0.6447617745	2024-06-28T01:16:05.318
200	1.6047737598	0.2656875834	0.6367654830	0.6454557451	2024-06-28T01:16:08.537
210	1.6045299768	0.2983978638	0.6372872043	0.6451960685	2024-06-28T01:16:11.775
220	1.6043045521	0.3164218959	0.6362948391	0.6452129464	2024-06-28T01:16:15.002
230	1.6040829420	0.3104138852	0.6367912109	0.6451203127	2024-06-28T01:16:18.262
240	1.6038578749	0.3127503338	0.6372994593	0.6449325954	2024-06-28T01:16:21.507
250	1.6036267281	0.3240987984	0.6364323229	0.6450202136	2024-06-28T01:16:24.767
eval AUC = 0.633863262657208
eval Acc = 0.20359281437125748
# test=2, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.6094253063	0.1945927904	0.6222512583	0.6163055626	2024-06-28T01:16:27.143
10	1.6091876030	0.2009345794	0.6219399757	[1m0.6187232213[0m	2024-06-28T01:16:29.717
20	1.6089149714	0.2032710280	0.6240788811	[1m0.6213736287[0m	2024-06-28T01:16:32.595
30	1.6086735725	0.2032710280	0.6243616779	[1m0.6217072812[0m	2024-06-28T01:16:35.636
40	1.6084411144	0.2032710280	0.6245570535	[1m0.6219226531[0m	2024-06-28T01:16:38.665
50	1.6081999540	0.2032710280	0.6246795170	[1m0.6220269589[0m	2024-06-28T01:16:41.762
60	1.6079615355	0.2032710280	0.6247586344	[1m0.6220781308[0m	2024-06-28T01:16:44.857
70	1.6077351570	0.2032710280	0.6247659169	[1m0.6221042969[0m	2024-06-28T01:16:48.034
80	1.6074959040	0.2032710280	0.6249479618	[1m0.6222287280[0m	2024-06-28T01:16:51.197
90	1.6072537899	0.2032710280	0.6250364689	[1m0.6222912528[0m	2024-06-28T01:16:54.411
100	1.6070237160	0.2032710280	0.6249802965	0.6222574877	2024-06-28T01:16:57.650
110	1.6067863703	0.2032710280	0.6249705329	0.6222505618	2024-06-28T01:17:00.878
120	1.6065589190	0.2032710280	0.6250545743	[1m0.6223162511[0m	2024-06-28T01:17:04.113
130	1.6063140631	0.2032710280	0.6251404470	[1m0.6223832109[0m	2024-06-28T01:17:07.363
140	1.6060839891	0.2032710280	0.6251649339	[1m0.6223963105[0m	2024-06-28T01:17:10.629
150	1.6058576107	0.2997329773	0.6253039227	[1m0.6225045400[0m	2024-06-28T01:17:13.907
160	1.6056202650	0.2600133511	0.6252837551	[1m0.6225063707[0m	2024-06-28T01:17:17.152
170	1.6053880453	0.2369826435	0.6252385201	0.6224431958	2024-06-28T01:17:20.430
180	1.6051592827	0.2983978638	0.6253769781	[1m0.6225589280[0m	2024-06-28T01:17:23.694
190	1.6049299240	0.3157543391	0.6254634806	[1m0.6226133203[0m	2024-06-28T01:17:26.936
200	1.6047050953	0.3304405874	0.6255973655	[1m0.6226777698[0m	2024-06-28T01:17:30.200
210	1.6044731140	0.3294392523	0.6256875210	[1m0.6227334773[0m	2024-06-28T01:17:33.434
220	1.6042379141	0.3157543391	0.6255666343	0.6226658964	2024-06-28T01:17:36.752
230	1.6040202379	0.2740320427	0.6253514544	0.6225494988	2024-06-28T01:17:40.074
240	1.6037962437	0.2833778371	0.6253939994	0.6225689126	2024-06-28T01:17:43.347
250	1.6035579443	0.3301068091	0.6258797644	[1m0.6228385521[0m	2024-06-28T01:17:46.608
260	1.6033358574	0.3137516689	0.6255521701	0.6226320989	2024-06-28T01:17:49.888
270	1.6031045914	0.3311081442	0.6265692362	[1m0.6234092317[0m	2024-06-28T01:17:53.179
280	1.6028845310	0.3294392523	0.6265827291	0.6233967204	2024-06-28T01:17:56.442
290	1.6026548147	0.3327770360	0.6275722981	[1m0.6239856019[0m	2024-06-28T01:17:59.669
300	1.6024315357	0.3257676903	0.6268601162	0.6235512965	2024-06-28T01:18:02.918
310	1.6022100449	0.3194259012	0.6261610421	0.6230181951	2024-06-28T01:18:06.165
320	1.6019797325	0.3317757009	0.6297416083	[1m0.6247058885[0m	2024-06-28T01:18:09.412
330	1.6017625332	0.3244325768	0.6275898438	0.6239361902	2024-06-28T01:18:12.646
340	1.6015397310	0.3317757009	0.6326163651	[1m0.6258566790[0m	2024-06-28T01:18:15.868
350	1.6013129950	0.3357810414	0.6298873239	0.6247653484	2024-06-28T01:18:19.117
360	1.6010967493	0.3314419226	0.6292059511	0.6244118053	2024-06-28T01:18:22.366
370	1.6008633375	0.3311081442	0.6302734174	0.6248604455	2024-06-28T01:18:25.575
380	1.6006501913	0.3324432577	0.6325436199	0.6258053591	2024-06-28T01:18:28.836
