Sat Aug 20 20:44:28 AEST 2022
# hypergraphs = ["../Model_1/H/", "../Model_3/H/", "../Model_4/H/"]
# load_model = nothing
# early_stop = 100
# weigh_edges = false
# nFilters = 64
# kernel_sizes = [2, 5, 10, 15, 20]
# nFilters2 = 32
# pre = nothing
# pred = pred_134.tsv
# pair_files = false
# weigh_nodes = false
# model = 8
# edge_values = String[]
# node_values = ["../Model_1/nodeCents/", "../Model_3/nodeCents/", "../Model_4/nodeCents/"]
# cv = true
# epochs = 500
# save_model = model_134.bson
# sample = nothing
# Reading label 1 from 989 hypergraphs matching:
# ../Model_1/H/
# ../Model_1/nodeCents/
# Reading label 2 from 970 hypergraphs matching:
# ../Model_3/H/
# ../Model_3/nodeCents/
# Reading label 3 from 1017 hypergraphs matching:
# ../Model_4/H/
# ../Model_4/nodeCents/
100	0.0017947813	1.0000000000	1.0000000000	0.9857313848	2022-08-20T23:01:06.404
110	0.0010122665	1.0000000000	1.0000000000	[1m0.9858331549[0m	2022-08-20T23:02:53.386
120	0.0006592848	1.0000000000	1.0000000000	[1m0.9860995912[0m	2022-08-20T23:04:40.536
130	0.0003560910	1.0000000000	1.0000000000	0.9858613981	2022-08-20T23:06:27.961
140	0.0001976027	1.0000000000	1.0000000000	0.9859454786	2022-08-20T23:08:15.852
150	0.0001170443	1.0000000000	1.0000000000	0.9858197340	2022-08-20T23:10:03.565
160	0.0000755151	1.0000000000	1.0000000000	0.9859291988	2022-08-20T23:11:50.970
170	0.0000430352	1.0000000000	1.0000000000	0.9858599008	2022-08-20T23:13:38.692
180	0.0000274673	1.0000000000	1.0000000000	0.9858179366	2022-08-20T23:15:26.530
190	0.0000158464	1.0000000000	1.0000000000	0.9859634338	2022-08-20T23:17:14.439
200	0.0000144789	1.0000000000	1.0000000000	0.9858954031	2022-08-20T23:19:02.257
210	0.0000058012	1.0000000000	1.0000000000	0.9851915318	2022-08-20T23:20:50.125
220	0.0000043035	1.0000000000	1.0000000000	0.9853942458	2022-08-20T23:22:38.174
eval AUC = 0.977848308011481
eval Acc = 0.8842281879194631
# test=2, eval=3
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1006587744	0.3262331839	0.6608062251	0.6668693552	2022-08-20T23:24:29.466
10	0.2343102247	0.9181614350	0.9850539476	[1m0.9854984894[0m	2022-08-20T23:26:17.855
20	0.1512396932	0.9467488789	0.9934511657	[1m0.9878027358[0m	2022-08-20T23:28:06.179
30	0.1012578905	0.9702914798	0.9977542712	0.9874561471	2022-08-20T23:29:54.380
40	0.0640687123	0.9859865471	0.9993935634	0.9875429317	2022-08-20T23:31:42.886
50	0.0362405293	0.9949551570	0.9999595338	0.9872729855	2022-08-20T23:33:31.590
60	0.0178589486	1.0000000000	1.0000000000	0.9873063173	2022-08-20T23:35:20.086
70	0.0121671353	1.0000000000	1.0000000000	0.9864462667	2022-08-20T23:37:08.665
80	0.0057409476	1.0000000000	1.0000000000	0.9873220729	2022-08-20T23:38:57.158
90	0.0028174412	1.0000000000	1.0000000000	0.9870482609	2022-08-20T23:40:46.155
100	0.0015349931	1.0000000000	1.0000000000	0.9871238233	2022-08-20T23:42:35.133
110	0.0014656461	1.0000000000	1.0000000000	0.9865742478	2022-08-20T23:44:24.275
120	0.0005015373	1.0000000000	1.0000000000	0.9871181557	2022-08-20T23:46:13.307
eval AUC = 0.9771576593397219
eval Acc = 0.9026845637583892
# test=2, eval=4
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.0918939114	0.3413677130	0.7053180709	0.7031769098	2022-08-20T23:48:05.473
10	0.2262686640	0.9192825112	0.9866979151	[1m0.9826261907[0m	2022-08-20T23:49:54.931
20	0.1494568437	0.9540358744	0.9939610082	[1m0.9828645381[0m	2022-08-20T23:51:44.666
30	0.0979095474	0.9747757848	0.9973054990	[1m0.9836437723[0m	2022-08-20T23:53:34.380
40	0.0651544631	0.9798206278	0.9989705352	[1m0.9841766070[0m	2022-08-20T23:55:23.996
50	0.0449609272	0.9910313901	0.9997946830	0.9840710839	2022-08-20T23:57:13.699
60	0.0231421012	0.9966367713	0.9999980941	0.9832755856	2022-08-20T23:59:03.592
70	0.0128379809	0.9994394619	1.0000000000	0.9832531951	2022-08-21T00:00:53.727
80	0.0058305990	1.0000000000	1.0000000000	0.9835287361	2022-08-21T00:02:43.909
90	0.0034280336	1.0000000000	1.0000000000	0.9837199118	2022-08-21T00:04:33.914
100	0.0022465552	1.0000000000	1.0000000000	0.9834600804	2022-08-21T00:06:24.137
110	0.0014235467	1.0000000000	1.0000000000	0.9834542183	2022-08-21T00:08:14.329
120	0.0009158169	1.0000000000	1.0000000000	0.9836750947	2022-08-21T00:10:04.490
130	0.0005171518	1.0000000000	1.0000000000	0.9832602159	2022-08-21T00:11:54.802
140	0.0119024422	0.9971973094	0.9999976495	0.9837673227	2022-08-21T00:13:45.302
eval AUC = 0.9690797426665254
eval Acc = 0.8959731543624161
# test=2, eval=5
Epoch	CE	Acc	AUC	TestAUC	Time
0	1.1002968550	0.3434004474	0.5804865340	0.5722970607	2022-08-21T00:15:38.920
10	0.2465669364	0.9026845638	0.9826881467	[1m0.9840099143[0m	2022-08-21T00:17:29.453
20	0.1838703305	0.9306487696	0.9920191929	[1m0.9858826794[0m	2022-08-21T00:19:19.895
30	0.1030072197	0.9675615213	0.9976789608	[1m0.9861847857[0m	2022-08-21T00:21:10.612
40	0.0923143253	0.9725950783	0.9990250891	0.9839413920	2022-08-21T00:23:01.137
