,Size,Life Span,ROG,Type,Name,Label
15,4,0.35,0.6258307575428987,unbiased,unbiased_344,True
1,7,0.4,0.9691394179046536,unbiased,unbiased_201,True
7,6,0.35,1.1295253135407928,unbiased,unbiased_201,True
5,14,0.9,1.4960375437348183,unbiased,unbiased_67,True
0,9,0.9,1.2092889093282868,unbiased,unbiased_128,True
3,7,0.6,0.7577509777904817,unbiased,unbiased_123,True
8,4,0.4,0.24222103971955272,unbiased,unbiased_83,True
11,5,0.3,0.8616778825058259,unbiased,unbiased_83,True
3,4,0.6,0.843968333829645,unbiased,unbiased_318,True
8,7,0.55,0.5715756330980702,unbiased,unbiased_318,True
5,6,0.75,0.9575059059544586,unbiased,unbiased_174,True
7,8,0.85,0.7698446557017081,unbiased,unbiased_174,True
5,7,0.3,1.3834520952746763,unbiased,unbiased_162,True
7,7,0.3,0.9327573018496659,unbiased,unbiased_162,True
10,4,0.15,0.5247216875110565,unbiased,unbiased_359,True
10,9,0.55,1.6586123253655722,unbiased,unbiased_95,True
6,5,0.2,0.8587583142680152,unbiased,unbiased_267,True
12,5,0.35,0.40217578399431203,unbiased,unbiased_288,True
3,5,0.2,1.0471893193068884,unbiased,unbiased_230,True
5,11,0.5,1.6241719219083646,unbiased,unbiased_375,True
9,4,0.15,1.0551085821947777,unbiased,unbiased_119,True
10,7,0.3,1.1447101196100977,unbiased,unbiased_119,True
1,12,0.9,1.7691394028408178,unbiased,unbiased_226,True
15,5,0.9,0.4892293618506275,unbiased,unbiased_363,True
0,5,0.9,0.9246895652384949,unbiased,unbiased_40,True
3,12,0.65,1.6643774598143997,unbiased,unbiased_40,True
7,3,0.1,0.548095192848474,unbiased,unbiased_271,True
9,8,0.8,1.1540922549835566,unbiased,unbiased_271,True
7,4,0.15,0.6049533553374568,unbiased,unbiased_334,True
7,9,0.4,1.187443163894484,unbiased,unbiased_158,True
2,7,0.4,0.719790326258938,unbiased,unbiased_60,True
16,4,0.15,0.4515298140319671,unbiased,unbiased_343,True
11,8,0.4,1.2154091571612975,unbiased,unbiased_37,True
0,15,0.95,1.7269004248791038,unbiased,unbiased_178,True
3,3,0.1,0.8367880609088808,unbiased,unbiased_178,True
3,14,0.75,1.4825649868328132,unbiased,unbiased_251,True
5,6,0.25,1.413452840375351,unbiased,unbiased_21,True
0,7,0.7,0.9007488853004687,unbiased,unbiased_302,True
5,8,0.45,0.9924798573288803,unbiased,unbiased_302,True
6,13,0.7,2.144341004689419,unbiased,unbiased_247,True
4,5,0.8,1.1087312999311965,unbiased,unbiased_210,True
7,9,0.85,1.2692758150655399,unbiased,unbiased_210,True
10,4,0.3,0.42839108567676554,unbiased,unbiased_142,True
8,4,0.15,0.5732984145972877,unbiased,unbiased_284,True
0,5,0.25,0.6062492642200688,unbiased,unbiased_400,True
7,9,0.45,1.2107020628879328,unbiased,unbiased_115,True
9,5,0.45,0.7202627695400046,unbiased,unbiased_379,True
2,5,0.2,0.7399612477197194,unbiased,unbiased_103,True
6,10,0.45,1.344396207455922,unbiased,unbiased_103,True
12,8,0.35,1.5389116923144726,unbiased,unbiased_380,True
2,6,0.25,0.7050755930562809,unbiased,unbiased_154,True
6,5,0.2,0.6418366940230495,unbiased,unbiased_154,True
2,4,0.3,0.6957634112992458,unbiased,unbiased_338,True
7,5,0.2,0.6493858044321004,unbiased,unbiased_339,True
2,8,0.65,0.6781797289016662,unbiased,unbiased_293,True
1,19,0.9,3.2506030069425247,unbiased,unbiased_381,True
0,9,0.75,1.439159972634129,unbiased,unbiased_102,True
13,6,0.55,0.5160046355168375,unbiased,unbiased_2,True
6,13,0.9,1.016974760939655,unbiased,unbiased_114,True
12,8,0.4,1.0815971317045898,unbiased,unbiased_143,True
2,9,0.65,1.1205209945071641,unbiased,unbiased_211,True
4,8,0.75,1.0438433649858219,unbiased,unbiased_211,True
9,5,0.4,0.6638594898444272,unbiased,unbiased_138,True
1,3,0.1,0.4891027996755741,unbiased,unbiased_303,True
5,13,0.8,2.4794277639681805,unbiased,unbiased_303,True
0,11,0.75,1.5194395727505892,unbiased,unbiased_246,True
10,6,0.35,0.7024136978548811,unbiased,unbiased_20,True
1,8,0.65,1.4318515330848234,unbiased,unbiased_315,True
6,5,0.2,0.7386465988423385,unbiased,unbiased_315,True
7,12,0.6,1.857804995973297,unbiased,unbiased_250,True
0,10,0.95,1.7222965393569478,unbiased,unbiased_36,True
1,9,0.4,0.6262280796071975,unbiased,unbiased_36,True
2,11,0.85,1.203754036897472,unbiased,unbiased_179,True
10,7,0.5,0.95918750807472,unbiased,unbiased_196,True
5,3,0.2,1.0929845149098738,unbiased,unbiased_342,True
7,8,0.45,0.8116475581009261,unbiased,unbiased_342,True
5,6,0.45,0.8917368983531452,unbiased,unbiased_207,True
7,6,0.5,0.5251189046544995,unbiased,unbiased_207,True
3,9,0.4,1.522698168095424,unbiased,unbiased_61,True
12,7,0.5,0.9599460334138301,unbiased,unbiased_16,True
7,4,0.25,1.0454475441648032,unbiased,unbiased_159,True
9,8,0.45,1.4679631432748543,unbiased,unbiased_159,True
0,14,0.95,2.040213911778131,unbiased,unbiased_270,True
1,5,0.2,0.6607929758786731,unbiased,unbiased_270,True
5,4,0.15,0.7604041023674932,unbiased,unbiased_335,True
6,10,0.45,1.8921043936177386,unbiased,unbiased_335,True
11,7,0.4,1.128724942442957,unbiased,unbiased_41,True
3,5,0.5,0.6397683002786378,unbiased,unbiased_227,True
8,9,0.55,1.1209563893038546,unbiased,unbiased_57,True
1,7,0.45,1.19429398229581,unbiased,unbiased_118,True
3,9,0.95,1.0661770417034537,unbiased,unbiased_118,True
6,11,0.5,1.7663441591807834,unbiased,unbiased_231,True
3,10,0.45,1.586001043952573,unbiased,unbiased_374,True
11,8,0.35,1.5534956594466893,unbiased,unbiased_323,True
1,10,0.45,1.013636845981422,unbiased,unbiased_134,True
4,3,0.15,1.0901207955423589,unbiased,unbiased_134,True
0,7,0.65,0.9306111582180767,unbiased,unbiased_94,True
13,7,0.3,1.2397752635901726,unbiased,unbiased_358,True
0,7,0.3,1.1702361073277838,unbiased,unbiased_163,True
5,9,0.4,1.1254683462705484,unbiased,unbiased_163,True
6,8,0.65,1.2802752563769,unbiased,unbiased_175,True
7,6,0.25,1.047356379977685,unbiased,unbiased_175,True
